-1.5,1.5,0.6
1.4877,-0.19186,0.6
1.4883,-0.1869,0.6
1.4889,-0.18194,0.6
1.4895,-0.17698,0.6
1.4901,-0.17201,0.6
1.4907,-0.16704,0.6
1.4912,-0.16207,0.6
1.4918,-0.1571,0.6
1.4923,-0.15213,0.6
1.4928,-0.14715,0.6
1.4932,-0.14218,0.6
1.4937,-0.1372,0.6
1.4942,-0.13222,0.6
1.4946,-0.12724,0.6
1.495,-0.12225,0.6
1.4954,-0.11727,0.6
1.4958,-0.11228,0.6
1.4962,-0.1073,0.6
1.4965,-0.10231,0.6
1.4968,-0.097321,0.6
1.4972,-0.092331,0.6
1.4975,-0.08734,0.6
1.4977,-0.082348,0.6
1.498,-0.077355,0.6
1.4983,-0.072361,0.6
1.4985,-0.067366,0.6
1.4987,-0.062371,0.6
1.4989,-0.057375,0.6
1.4991,-0.052378,0.6
1.4993,-0.047381,0.6
1.4994,-0.042383,0.6
1.4995,-0.037385,0.6
1.4997,-0.032386,0.6
1.4997,-0.027387,0.6
1.4998,-0.022388,0.6
1.4999,-0.017389,0.6
1.4999,-0.012389,0.6
1.5,-0.007389,0.6
1.5,-0.002389,0.6
1.5,0.0025,0.6
1.5,0.005,0.6
1.5,0.0075,0.6
1.5,0.01,0.6
1.5,0.0125,0.6
1.5,0.015,0.6
1.5,0.0175,0.6
1.5,0.02,0.6
1.5,0.0225,0.6
1.5,0.025,0.6
1.5,0.0275,0.6
1.5,0.03,0.6
1.5,0.0325,0.6
1.5,0.035,0.6
1.5,0.0375,0.6
1.5,0.04,0.6
1.5,0.0425,0.6
1.5,0.045,0.6
1.5,0.0475,0.6
1.5,0.05,0.6
1.5,0.0525,0.6
1.5,0.055,0.6
1.5,0.0575,0.6
1.5,0.06,0.6
1.5,0.0625,0.6
1.5,0.065,0.6
1.5,0.0675,0.6
1.5,0.07,0.6
1.5,0.0725,0.6
1.5,0.075,0.6
1.5,0.0775,0.6
1.5,0.08,0.6
1.5,0.0825,0.6
1.5,0.085,0.6
1.5,0.0875,0.6
1.5,0.09,0.6
1.5,0.0925,0.6
1.5,0.095,0.6
1.5,0.0975,0.6
1.5,0.1,0.6
1.5,0.1025,0.6
1.5,0.105,0.6
1.5,0.1075,0.6
1.5,0.11,0.6
1.5,0.1125,0.6
1.5,0.115,0.6
1.5,0.1175,0.6
1.5,0.12,0.6
1.5,0.1225,0.6
1.5,0.125,0.6
1.5,0.1275,0.6
1.5,0.13,0.6
1.5,0.1325,0.6
1.5,0.135,0.6
1.5,0.1375,0.6
1.5,0.14,0.6
1.5,0.1425,0.6
1.5,0.145,0.6
1.5,0.1475,0.6
1.5,0.15,0.6
1.5,0.1525,0.6
1.5,0.155,0.6
1.5,0.1575,0.6
1.5,0.16,0.6
1.5,0.1625,0.6
1.5,0.165,0.6
1.5,0.1675,0.6
1.5,0.17,0.6
1.5,0.1725,0.6
1.5,0.175,0.6
1.5,0.1775,0.6
1.5,0.18,0.6
1.5,0.1825,0.6
1.5,0.185,0.6
1.5,0.1875,0.6
1.5,0.19,0.6
1.5,0.1925,0.6
1.5,0.195,0.6
1.5,0.1975,0.6
1.5,0.2,0.6
1.5,0.2025,0.6
1.5,0.205,0.6
1.5,0.2075,0.6
1.5,0.21,0.6
1.5,0.2125,0.6
1.5,0.215,0.6
1.5,0.2175,0.6
1.5,0.22,0.6
1.5,0.2225,0.6
1.5,0.225,0.6
1.5,0.2275,0.6
1.5,0.23,0.6
1.5,0.2325,0.6
1.5,0.235,0.6
1.5,0.2375,0.6
1.5,0.24,0.6
1.5,0.2425,0.6
1.5,0.245,0.6
1.5,0.2475,0.6
1.5,0.25,0.6
1.5,0.2525,0.6
1.5,0.255,0.6
1.5,0.2575,0.6
1.5,0.26,0.6
1.5,0.2625,0.6
1.5,0.265,0.6
1.5,0.2675,0.6
1.5,0.27,0.6
1.5,0.2725,0.6
1.5,0.275,0.6
1.5,0.2775,0.6
1.5,0.28,0.6
1.5,0.2825,0.6
1.5,0.285,0.6
1.5,0.2875,0.6
1.5,0.29,0.6
1.5,0.2925,0.6
1.5,0.295,0.6
1.5,0.2975,0.6
1.5,0.3,0.6
1.5,0.3025,0.6
1.5,0.305,0.6
1.5,0.3075,0.6
1.5,0.31,0.6
1.5,0.3125,0.6
1.5,0.315,0.6
1.5,0.3175,0.6
1.5,0.32,0.6
1.5,0.3225,0.6
1.5,0.325,0.6
1.5,0.3275,0.6
1.5,0.33,0.6
1.5,0.3325,0.6
1.5,0.335,0.6
1.5,0.3375,0.6
1.5,0.34,0.6
1.5,0.3425,0.6
1.5,0.345,0.6
1.5,0.3475,0.6
1.5,0.35,0.6
1.5,0.3525,0.6
1.5,0.355,0.6
1.5,0.3575,0.6
1.5,0.36,0.6
1.5,0.3625,0.6
1.5,0.365,0.6
1.5,0.3675,0.6
1.5,0.37,0.6
1.5,0.3725,0.6
1.5,0.375,0.6
1.5,0.3775,0.6
1.5,0.38,0.6
1.5,0.3825,0.6
1.5,0.385,0.6
1.5,0.3875,0.6
1.5,0.39,0.6
1.5,0.3925,0.6
1.5,0.395,0.6
1.5,0.3975,0.6
1.5,0.4,0.6
1.5,0.4025,0.6
1.5,0.405,0.6
1.5,0.4075,0.6
1.5,0.41,0.6
1.5,0.4125,0.6
1.5,0.415,0.6
1.5,0.4175,0.6
1.5,0.42,0.6
1.5,0.4225,0.6
1.5,0.425,0.6
1.5,0.4275,0.6
1.5,0.43,0.6
1.5,0.4325,0.6
1.5,0.435,0.6
1.5,0.4375,0.6
1.5,0.44,0.6
1.5,0.4425,0.6
1.5,0.445,0.6
1.5,0.4475,0.6
1.5,0.45,0.6
1.5,0.4525,0.6
1.5,0.455,0.6
1.5,0.4575,0.6
1.5,0.46,0.6
1.5,0.4625,0.6
1.5,0.465,0.6
1.5,0.4675,0.6
1.5,0.47,0.6
1.5,0.4725,0.6
1.5,0.475,0.6
1.5,0.4775,0.6
1.5,0.48,0.6
1.5,0.4825,0.6
1.5,0.485,0.6
1.5,0.4875,0.6
1.5,0.49,0.6
1.5,0.4925,0.6
1.5,0.495,0.6
1.5,0.4975,0.6
1.5,0.5,0.6
1.5,0.5025,0.6
1.5,0.505,0.6
1.5,0.5075,0.6
1.5,0.51,0.6
1.5,0.5125,0.6
1.5,0.515,0.6
1.5,0.5175,0.6
1.5,0.52,0.6
1.5,0.5225,0.6
1.5,0.525,0.6
1.5,0.5275,0.6
1.5,0.53,0.6
1.5,0.5325,0.6
1.5,0.535,0.6
1.5,0.5375,0.6
1.5,0.54,0.6
1.5,0.5425,0.6
1.5,0.545,0.6
1.5,0.5475,0.6
1.5,0.55,0.6
1.5,0.5525,0.6
1.5,0.555,0.6
1.5,0.5575,0.6
1.5,0.56,0.6
1.5,0.5625,0.6
1.5,0.565,0.6
1.5,0.5675,0.6
1.5,0.57,0.6
1.5,0.5725,0.6
1.5,0.575,0.6
1.5,0.5775,0.6
1.5,0.58,0.6
1.5,0.5825,0.6
1.5,0.585,0.6
1.5,0.5875,0.6
1.5,0.59,0.6
1.5,0.5925,0.6
1.5,0.595,0.6
1.5,0.5975,0.6
1.5,0.6,0.6
1.5,0.6025,0.6
1.5,0.605,0.6
1.5,0.6075,0.6
1.5,0.61,0.6
1.5,0.6125,0.6
1.5,0.615,0.6
1.5,0.6175,0.6
1.5,0.62,0.6
1.5,0.6225,0.6
1.5,0.625,0.6
1.5,0.6275,0.6
1.5,0.63,0.6
1.5,0.6325,0.6
1.5,0.635,0.6
1.5,0.6375,0.6
1.5,0.64,0.6
1.5,0.6425,0.6
1.5,0.645,0.6
1.5,0.6475,0.6
1.5,0.65,0.6
1.5,0.6525,0.6
1.5,0.655,0.6
1.5,0.6575,0.6
1.5,0.66,0.6
1.5,0.6625,0.6
1.5,0.665,0.6
1.5,0.6675,0.6
1.5,0.67,0.6
1.5,0.6725,0.6
1.5,0.675,0.6
1.5,0.6775,0.6
1.5,0.68,0.6
1.5,0.6825,0.6
1.5,0.685,0.6
1.5,0.6875,0.6
1.5,0.69,0.6
1.5,0.6925,0.6
1.5,0.695,0.6
1.5,0.6975,0.6
1.5,0.7,0.6
1.5,0.7025,0.6
1.5,0.705,0.6
1.5,0.7075,0.6
1.5,0.71,0.6
1.5,0.7125,0.6
1.5,0.715,0.6
1.5,0.7175,0.6
1.5,0.72,0.6
1.5,0.7225,0.6
1.5,0.725,0.6
1.5,0.7275,0.6
1.5,0.73,0.6
1.5,0.7325,0.6
1.5,0.735,0.6
1.5,0.7375,0.6
1.5,0.74,0.6
1.5,0.7425,0.6
1.5,0.745,0.6
1.5,0.7475,0.6
1.5,0.75,0.6
1.5,0.7525,0.6
1.5,0.755,0.6
1.5,0.7575,0.6
1.5,0.76,0.6
1.5,0.7625,0.6
1.5,0.765,0.6
1.5,0.7675,0.6
1.5,0.77,0.6
1.5,0.7725,0.6
1.5,0.775,0.6
1.5,0.7775,0.6
1.5,0.78,0.6
1.5,0.7825,0.6
1.5,0.785,0.6
1.5,0.7875,0.6
1.5,0.79,0.6
1.5,0.7925,0.6
1.5,0.795,0.6
1.5,0.7975,0.6
1.5,0.8,0.6
1.5,0.8025,0.6
1.5,0.805,0.6
1.5,0.8075,0.6
1.5,0.81,0.6
1.5,0.8125,0.6
1.5,0.815,0.6
1.5,0.8175,0.6
1.5,0.82,0.6
1.5,0.8225,0.6
1.5,0.825,0.6
1.5,0.8275,0.6
1.5,0.83,0.6
1.5,0.8325,0.6
1.5,0.835,0.6
1.5,0.8375,0.6
1.5,0.84,0.6
1.5,0.8425,0.6
1.5,0.845,0.6
1.5,0.8475,0.6
1.5,0.85,0.6
1.5,0.8525,0.6
1.5,0.855,0.6
1.5,0.8575,0.6
1.5,0.86,0.6
1.5,0.8625,0.6
1.5,0.865,0.6
1.5,0.8675,0.6
1.5,0.87,0.6
1.5,0.8725,0.6
1.5,0.875,0.6
1.5,0.8775,0.6
1.5,0.88,0.6
1.5,0.8825,0.6
1.5,0.885,0.6
1.5,0.8875,0.6
1.5,0.89,0.6
1.5,0.8925,0.6
1.5,0.895,0.6
1.5,0.8975,0.6
1.5,0.9,0.6
1.5,0.9025,0.6
1.5,0.905,0.6
1.5,0.9075,0.6
1.5,0.91,0.6
1.5,0.9125,0.6
1.5,0.915,0.6
1.5,0.9175,0.6
1.5,0.92,0.6
1.5,0.9225,0.6
1.5,0.925,0.6
1.5,0.9275,0.6
1.5,0.93,0.6
1.5,0.9325,0.6
1.5,0.935,0.6
1.5,0.9375,0.6
1.5,0.94,0.6
1.5,0.9425,0.6
1.5,0.945,0.6
1.5,0.9475,0.6
1.5,0.95,0.6
1.5,0.9525,0.6
1.5,0.955,0.6
1.5,0.9575,0.6
1.5,0.96,0.6
1.5,0.9625,0.6
1.5,0.965,0.6
1.5,0.9675,0.6
1.5,0.97,0.6
1.5,0.9725,0.6
1.5,0.975,0.6
1.5,0.9775,0.6
1.5,0.98,0.6
1.5,0.9825,0.6
1.5,0.985,0.6
1.5,0.9875,0.6
1.5,0.99,0.6
1.5,0.9925,0.6
1.5,0.995,0.6
1.5,0.9975,0.6
1.5,1,0.6
1.5,1.0025,0.6
1.5,1.005,0.6
1.5,1.0075,0.6
1.5,1.01,0.6
1.5,1.0125,0.6
1.5,1.015,0.6
1.5,1.0175,0.6
1.5,1.02,0.6
1.5,1.0225,0.6
1.5,1.025,0.6
1.5,1.0275,0.6
1.5,1.03,0.6
1.5,1.0325,0.6
1.5,1.035,0.6
1.5,1.0375,0.6
1.5,1.04,0.6
1.5,1.0425,0.6
1.5,1.045,0.6
1.5,1.0475,0.6
1.5,1.05,0.6
1.5,1.0525,0.6
1.5,1.055,0.6
1.5,1.0575,0.6
1.5,1.06,0.6
1.5,1.0625,0.6
1.5,1.065,0.6
1.5,1.0675,0.6
1.5,1.07,0.6
1.5,1.0725,0.6
1.5,1.075,0.6
1.5,1.0775,0.6
1.5,1.08,0.6
1.5,1.0825,0.6
1.5,1.085,0.6
1.5,1.0875,0.6
1.5,1.09,0.6
1.5,1.0925,0.6
1.5,1.095,0.6
1.5,1.0975,0.6
1.5,1.1,0.6
1.5,1.1025,0.6
1.5,1.105,0.6
1.5,1.1075,0.6
1.5,1.11,0.6
1.5,1.1125,0.6
1.5,1.115,0.6
1.5,1.1175,0.6
1.5,1.12,0.6
1.5,1.1225,0.6
1.5,1.125,0.6
1.5,1.1275,0.6
1.5,1.13,0.6
1.5,1.1325,0.6
1.5,1.135,0.6
1.5,1.1375,0.6
1.5,1.14,0.6
1.5,1.1425,0.6
1.5,1.145,0.6
1.5,1.1475,0.6
1.5,1.15,0.6
1.5,1.1525,0.6
1.5,1.155,0.6
1.5,1.1575,0.6
1.5,1.16,0.6
1.5,1.1625,0.6
1.5,1.165,0.6
1.5,1.1675,0.6
1.5,1.17,0.6
1.5,1.1725,0.6
1.5,1.175,0.6
1.5,1.1775,0.6
1.5,1.18,0.6
1.5,1.1825,0.6
1.5,1.185,0.6
1.5,1.1875,0.6
1.5,1.19,0.6
1.5,1.1925,0.6
1.5,1.195,0.6
1.5,1.1975,0.6
1.5,1.2,0.6
1.5,1.2025,0.6
1.5,1.205,0.6
1.5,1.2075,0.6
1.5,1.21,0.6
1.5,1.2125,0.6
1.5,1.215,0.6
1.5,1.2175,0.6
1.5,1.22,0.6
1.5,1.2225,0.6
1.5,1.225,0.6
1.5,1.2275,0.6
1.5,1.23,0.6
1.5,1.2325,0.6
1.5,1.235,0.6
1.5,1.2375,0.6
1.5,1.24,0.6
1.5,1.2425,0.6
1.5,1.245,0.6
1.5,1.2475,0.6
1.5,1.25,0.6
1.5,1.2525,0.6
1.5,1.255,0.6
1.5,1.2575,0.6
1.5,1.26,0.6
1.5,1.2625,0.6
1.5,1.265,0.6
1.5,1.2675,0.6
1.5,1.27,0.6
1.5,1.2725,0.6
1.5,1.275,0.6
1.5,1.2775,0.6
1.5,1.28,0.6
1.5,1.2825,0.6
1.5,1.285,0.6
1.5,1.2875,0.6
1.5,1.29,0.6
1.5,1.2925,0.6
1.5,1.295,0.6
1.5,1.2975,0.6
1.5,1.3,0.6
1.5,1.3025,0.6
1.5,1.305,0.6
1.5,1.3075,0.6
1.5,1.31,0.6
1.5,1.3125,0.6
1.5,1.315,0.6
1.5,1.3175,0.6
1.5,1.32,0.6
1.5,1.3225,0.6
1.5,1.325,0.6
1.5,1.3275,0.6
1.5,1.33,0.6
1.5,1.3325,0.6
1.5,1.335,0.6
1.5,1.3375,0.6
1.5,1.34,0.6
1.5,1.3425,0.6
1.5,1.345,0.6
1.5,1.3475,0.6
1.5,1.35,0.6
1.5,1.3525,0.6
1.5,1.355,0.6
1.5,1.3575,0.6
1.5,1.36,0.6
1.5,1.3625,0.6
1.5,1.365,0.6
1.5,1.3675,0.6
1.5,1.37,0.6
1.5,1.3725,0.6
1.5,1.375,0.6
1.5,1.3775,0.6
1.5,1.38,0.6
1.5,1.3825,0.6
1.5,1.385,0.6
1.5,1.3875,0.6
1.5,1.39,0.6
1.5,1.3925,0.6
1.5,1.395,0.6
1.5,1.3975,0.6
1.5,1.4,0.6
1.5,1.4025,0.6
1.5,1.405,0.6
1.5,1.4075,0.6
1.5,1.41,0.6
1.5,1.4125,0.6
1.5,1.415,0.6
1.5,1.4175,0.6
1.5,1.42,0.6
1.5,1.4225,0.6
1.5,1.425,0.6
1.5,1.4275,0.6
1.5,1.43,0.6
1.5,1.4325,0.6
1.5,1.435,0.6
1.5,1.4375,0.6
1.5,1.44,0.6
1.5,1.4425,0.6
1.5,1.445,0.6
1.5,1.4475,0.6
1.5,1.45,0.6
1.5,1.4525,0.6
1.5,1.455,0.6
1.5,1.4575,0.6
1.5,1.46,0.6
1.5,1.4625,0.6
1.5,1.465,0.6
1.5,1.4675,0.6
1.5,1.47,0.6
1.5,1.4725,0.6
1.5,1.475,0.6
1.5,1.4775,0.6
1.5,1.48,0.6
1.5,1.4825,0.6
1.5,1.485,0.6
1.5,1.4875,0.6
1.5,1.49,0.6
1.5,1.4925,0.6
1.5,1.495,0.6
1.5,1.4975,0.6
1.5,1.5,0.6
1.5,1.5,0.595
1.5,1.5,0.59
1.5,1.5,0.585
1.5,1.5,0.58
1.5,1.5,0.575
1.5,1.5,0.57
1.5,1.5,0.565
1.5,1.5,0.56
1.5,1.5,0.555
1.5,1.5,0.55
1.5,1.5,0.545
1.5,1.5,0.54
1.5,1.5,0.535
1.5,1.5,0.53
1.5,1.5,0.525
1.5,1.5,0.52
1.5,1.5,0.515
1.5,1.5,0.51
1.5,1.5,0.505
1.5,1.5,0.5
1.5,1.5,0.495
1.5,1.5,0.49
1.5,1.5,0.485
1.5,1.5,0.48
1.5,1.5,0.475
1.5,1.5,0.47
1.5,1.5,0.465
1.5,1.5,0.46
1.5,1.5,0.455
1.5,1.5,0.45
1.5,1.5,0.445
1.5,1.5,0.44
1.5,1.5,0.435
1.5,1.5,0.43
1.5,1.5,0.425
1.5,1.5,0.42
1.5,1.5,0.415
1.5,1.5,0.41
1.5,1.5,0.405
1.5,1.5,0.4
1.5,1.5,0.395
1.5,1.5,0.39
1.5,1.5,0.385
1.5,1.5,0.38
1.5,1.5,0.375
1.5,1.5,0.37
1.5,1.5,0.365
1.5,1.5,0.36
1.5,1.5,0.355
1.5,1.5,0.35
1.5,1.5,0.345
1.5,1.5,0.34
1.5,1.5,0.335
1.5,1.5,0.33
1.5,1.5,0.325
1.5,1.5,0.32
1.5,1.5,0.315
1.5,1.5,0.31
1.5,1.5,0.305
1.5,1.5,0.3
1.5,1.5,0.295
1.5,1.5,0.29
1.5,1.5,0.285
1.5,1.5,0.28
1.5,1.5,0.275
1.5,1.5,0.27
1.5,1.5,0.265
1.5,1.5,0.26
1.5,1.5,0.255
1.5,1.5,0.25
1.5,1.5,0.245
1.5,1.5,0.24
1.5,1.5,0.235
1.5,1.5,0.23
1.5,1.5,0.225
1.5,1.5,0.22
1.5,1.5,0.215
1.5,1.5,0.21
1.5,1.5,0.205
1.5,1.5,0.2
1.5,1.5,0.195
1.5,1.5,0.19
1.5,1.5,0.185
1.5,1.5,0.18
1.5,1.5,0.175
1.5,1.5,0.17
1.5,1.5,0.165
1.5,1.5,0.16
1.5,1.5,0.155
1.5,1.5,0.15
1.5,1.5,0.145
1.5,1.5,0.14
1.5,1.5,0.135
1.5,1.5,0.13
1.5,1.5,0.125
1.5,1.5,0.12
1.5,1.5,0.115
1.5,1.5,0.11
1.5,1.5,0.105
1.5,1.5,0.1
1.5,1.5,0.095
1.5,1.5,0.09
1.5,1.5,0.085
1.5,1.5,0.08
1.5,1.5,0.075
1.5,1.5,0.07
1.5,1.5,0.065
1.5,1.5,0.06
1.5,1.5,0.055
1.5,1.5,0.05
1.5,1.5,0.045
1.5,1.5,0.04
1.5,1.5,0.035
1.5,1.5,0.03
1.5,1.5,0.025
1.5,1.5,0.02
1.5,1.5,0.015
1.5,1.5,0.01
1.5,1.5,0.005
1.5,1.5,0
1.5,1.5,-0.005
1.5,1.5,-0.01
1.5,1.5,-0.015
1.5,1.5,-0.02
1.5,1.5,-0.025
1.5,1.5,-0.03
1.5,1.5,-0.035
1.5,1.5,-0.04
1.5,1.5,-0.045
1.5,1.5,-0.05
1.5,1.5,-0.055
1.5,1.5,-0.06
1.5,1.5,-0.065
1.5,1.5,-0.07
1.5,1.5,-0.075
1.5,1.5,-0.08
1.5,1.5,-0.085
1.5,1.5,-0.09
1.5,1.5,-0.095
1.5,1.5,-0.1
1.5,1.5,-0.105
1.5,1.5,-0.11
1.5,1.5,-0.115
1.5,1.5,-0.12
1.5,1.5,-0.125
1.5,1.5,-0.13
1.5,1.5,-0.135
1.5,1.5,-0.14
1.5,1.5,-0.145
